Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,3000,17752,199,39300,10521.13,8.567%,70.46058,701.11,7.68,10189.1
TOTAL,3000,17752,199,39300,10521.13,8.567%,70.46058,701.11,7.68,10189.1
